tweet_id,timestamp,source,rating_numerator,rating_denominator,name,img_num,retweet_count,favorite_count,dog_stages,tweet_url,tweet_text,pred_dog_breed,prediction
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,13,10,Tilly,1,6514,33819,,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",Chihuahua,True
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,12,10,Archie,1,4328,25461,,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,Chihuahua,True
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,13,10,Darla,1,8964,42908,,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,Labrador_retriever,True
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,12,10,Franklin,2,9774,41048,,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",basset,True
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,13,10,unknown,1,3261,20562,,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,Chesapeake_Bay_retriever,True
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,13,10,Jax,1,2158,12041,,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,https://t.co/Zr4hWfAs1H ,Appenzeller,True
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,13,10,unknown,2,16716,56848,,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,Pomeranian,True
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,13,10,Zoey,1,4429,28226,,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,Irish_terrier,True
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,14,10,Cassie,1,7711,32467,doggo,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,Pembroke,True
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,13,10,Koda,1,7624,31166,,https://t.co/dVPW0B0Mme,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,Samoyed,True
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,13,10,Bruno,1,5156,28268,,https://t.co/u1XPQMl29g,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,French_bulldog,True
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,13,10,unknown,1,8538,38818,puppo,https://t.co/BxvuXk0UCm,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,Pembroke,True
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,12,10,Ted,1,4735,27672,,https://t.co/f8dEDcrKSR,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,French_bulldog,True
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,13,10,Stuart,1,2321,15359,puppo,https://t.co/y70o6h3isq,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,golden_retriever,True
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,13,10,Oliver,1,5637,25652,,https://t.co/WpHvrQedPb,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,whippet,True
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,12,10,Jim,1,4709,29611,,https://t.co/chxruIOUJN,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,golden_retriever,True
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,13,10,Zeke,1,4559,26080,,https://t.co/HTQ77yNQ5K,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,golden_retriever,True
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,13,10,Ralphus,3,3732,20290,,https://t.co/YnYAFCTTiK,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,Siberian_husky,True
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,12,10,Gerald,1,3653,22201,,https://t.co/DK7iDPfuRX,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,French_bulldog,True
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,13,10,Jeffrey,1,5609,30779,,https://t.co/PhrUk20Q64,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,basset,True
887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,13,10,Canela,2,18781,69871,,https://t.co/cLyzpcUcMX,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,Pembroke,True
887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,13,10,unknown,1,10737,34222,,https://t.co/WZqNqygEyV,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,Mexican_hairless,True
887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,12,10,unknown,1,6167,31061,,https://t.co/4Ad1jzJSdp,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof ,Samoyed,True
886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,13,10,Maya,2,8084,35859,,https://t.co/I6oNy0CgiT,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,Chihuahua,True
886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,13,10,Mingus,1,3443,12306,,https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b,https://t.co/bVi0Yr4Cff ,kuvasz,True
886366144734445568,2017-07-15 23:25:31+00:00,Twitter for iPhone,12,10,Roscoe,1,3316,21524,pupper,https://t.co/RGE08MIJox,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,French_bulldog,True
886258384151887873,2017-07-15 16:17:19+00:00,Twitter for iPhone,13,10,Waffles,1,6523,28469,,https://t.co/xZDA9Qsq1O,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles ,pug,True
885984800019947520,2017-07-14 22:10:11+00:00,Twitter for iPhone,12,10,Jimbo,1,7097,33382,,https://t.co/BuveP0uMF1,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution ,Blenheim_spaniel,True
885528943205470208,2017-07-13 15:58:47+00:00,Twitter for iPhone,13,10,Maisey,1,6683,36689,,https://t.co/tp1kQ8i9JF,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,pug,True
885167619883638784,2017-07-12 16:03:00+00:00,Twitter for iPhone,13,10,unknown,4,4556,22367,,https://t.co/44ItaMubBf,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 ,malamute,True
884925521741709313,2017-07-12 00:01:00+00:00,Twitter for iPhone,12,10,Earl,1,16439,68152,,https://t.co/MYJvdlNRVa,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl ",Italian_greyhound,True
884876753390489601,2017-07-11 20:47:12+00:00,Twitter for iPhone,13,10,Lola,1,6096,28514,,https://t.co/74TKAUsLkO,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola ,chow,True
884562892145688576,2017-07-11 00:00:02+00:00,Twitter for iPhone,13,10,Kevin,1,5100,24765,,https://t.co/1r4MFCbCX5,This is Kevin. He's just so happy. 13/10 what is your secret Kevin ,pug,True
884441805382717440,2017-07-10 15:58:53+00:00,Twitter for iPhone,14,10,unknown,1,5856,27478,,https://t.co/vvBOcC2VdC,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) ",Pembroke,True
884162670584377345,2017-07-09 21:29:42+00:00,Twitter for iPhone,12,10,Yogi,1,3128,20771,doggo,https://t.co/YSI00BzTBZ,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo ,German_shepherd,True
883838122936631299,2017-07-09 00:00:04+00:00,Twitter for iPhone,12,10,Noah,1,3586,22349,,https://t.co/V85xujjDDY,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy ,Doberman,True
883482846933004288,2017-07-08 00:28:19+00:00,Twitter for iPhone,5,10,Bella,1,10407,46860,,https://t.co/qjrljjt948,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 ",golden_retriever,True
883360690899218434,2017-07-07 16:22:55+00:00,Twitter for iPhone,13,10,Grizzwald,1,3825,22986,floofer,https://t.co/rf661IFEYP,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck ,chow,True
883117836046086144,2017-07-07 00:17:54+00:00,Twitter for iPhone,13,10,unknown,2,6949,37914,,https://t.co/Se5fZ9wp5E,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat ",golden_retriever,True
882992080364220416,2017-07-06 15:58:11+00:00,Twitter for iPhone,13,10,Rusty,1,4122,24445,,https://t.co/tyER0KpdXj,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy ,Eskimo_dog,True
882762694511734784,2017-07-06 00:46:41+00:00,Twitter for iPhone,12,10,Gus,1,5134,28903,pupper,https://t.co/D43I96SlVu,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl ,Labrador_retriever,True
882627270321602560,2017-07-05 15:48:34+00:00,Twitter for iPhone,13,10,Stanley,1,6342,28382,,https://t.co/Nx52PGwH94,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) ,Pembroke,True
882268110199369728,2017-07-04 16:01:23+00:00,Twitter for iPhone,13,10,Alfy,1,12118,45880,,https://t.co/fYP5RlutfA,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 ,golden_retriever,True
